CVE,Date,CWE,Severity
CVE-2025-21616,2025-01-06T22:15:11.023,CWE-79,5.4
CVE-2025-21620,2025-01-06T23:15:07.770,CWE-200,7.5
CVE-2025-22395,2025-01-07T03:15:06.047,CWE-280;NVD-CWE-noinfo,7.8
CVE-2025-22261,2025-01-07T11:15:13.290,CWE-79,6.5
CVE-2025-22293,2025-01-07T11:15:13.473,CWE-79,6.5
CVE-2025-22297,2025-01-07T11:15:13.630,CWE-352,4.3
CVE-2025-22298,2025-01-07T11:15:13.783,CWE-862,4.3
CVE-2025-22299,2025-01-07T11:15:13.943,CWE-862,4.3
CVE-2025-22300,2025-01-07T11:15:14.100,CWE-352,5.4
CVE-2025-22301,2025-01-07T11:15:14.240,CWE-352,5.4
CVE-2025-22302,2025-01-07T11:15:14.387,CWE-862,5.3
CVE-2025-22303,2025-01-07T11:15:14.563,CWE-201;NVD-CWE-Other,7.5
CVE-2025-22304,2025-01-07T11:15:14.740,CWE-862,4.3
CVE-2025-22305,2025-01-07T11:15:14.907,CWE-98,6.5
CVE-2025-22308,2025-01-07T11:15:15.043,CWE-79,6.5
CVE-2025-22309,2025-01-07T11:15:15.190,CWE-79,6.5
CVE-2025-22310,2025-01-07T11:15:15.320,CWE-79,6.5
CVE-2025-22312,2025-01-07T11:15:15.480,CWE-79,6.5
CVE-2025-22315,2025-01-07T11:15:15.627,CWE-79,6.5
CVE-2025-22316,2025-01-07T11:15:15.763,CWE-79,5.4
CVE-2025-22320,2025-01-07T11:15:15.910,CWE-79,7.1
CVE-2025-22321,2025-01-07T11:15:16.073,CWE-79,6.5
CVE-2025-22323,2025-01-07T11:15:16.297,CWE-79,6.5
CVE-2025-22324,2025-01-07T11:15:16.437,CWE-79,7.1
CVE-2025-22325,2025-01-07T11:15:16.577,CWE-352,7.1
CVE-2025-22326,2025-01-07T11:15:16.730,CWE-79,7.1
CVE-2025-22327,2025-01-07T11:15:16.870,CWE-79,6.5
CVE-2025-22328,2025-01-07T11:15:17.020,CWE-352,7.1
CVE-2025-22333,2025-01-07T11:15:17.160,CWE-79,6.5
CVE-2025-22336,2025-01-07T11:15:17.313,CWE-352,7.1
CVE-2025-22339,2025-01-07T11:15:17.463,CWE-79,6.5
CVE-2025-22342,2025-01-07T11:15:17.610,CWE-352,7.1
CVE-2025-22343,2025-01-07T11:15:17.743,CWE-352,7.1
CVE-2025-22347,2025-01-07T11:15:17.897,CWE-352,8.2
CVE-2025-22348,2025-01-07T11:15:18.037,CWE-89,8.5
CVE-2025-22349,2025-01-07T11:15:18.183,CWE-89,7.6
CVE-2025-22351,2025-01-07T11:15:18.330,CWE-89,7.6
CVE-2025-22352,2025-01-07T11:15:18.527,CWE-89,7.6
CVE-2025-22353,2025-01-07T11:15:18.693,CWE-79,7.1
CVE-2025-22355,2025-01-07T11:15:18.857,CWE-79,7.1
CVE-2025-22357,2025-01-07T11:15:19.013,CWE-79,7.1
CVE-2025-22358,2025-01-07T11:15:19.167,CWE-79,7.1
CVE-2025-22359,2025-01-07T11:15:19.310,CWE-79,7.1
CVE-2025-22362,2025-01-07T11:15:19.453,CWE-79,6.5
CVE-2025-22364,2025-01-07T11:15:19.600,CWE-98,7.5
CVE-2025-0294,2025-01-07T14:15:24.277,CWE-74;CWE-89,8.8
CVE-2025-0295,2025-01-07T15:15:12.320,CWE-79;CWE-94,5.4
CVE-2025-0296,2025-01-07T15:15:12.530,CWE-74;CWE-89,9.8
CVE-2025-0237,2025-01-07T16:15:38.323,CWE-863,5.4
CVE-2025-0238,2025-01-07T16:15:38.470,CWE-416,5.3
CVE-2025-0239,2025-01-07T16:15:38.563,CWE-295,4.0
CVE-2025-0240,2025-01-07T16:15:38.663,CWE-416,4.0
CVE-2025-0241,2025-01-07T16:15:38.767,CWE-401,7.7
CVE-2025-0242,2025-01-07T16:15:38.860,CWE-787,6.5
CVE-2025-0243,2025-01-07T16:15:38.973,CWE-787,5.1
CVE-2025-0244,2025-01-07T16:15:39.073,CWE-601,5.3
CVE-2025-0245,2025-01-07T16:15:39.167,NVD-CWE-noinfo,3.3
CVE-2025-0246,2025-01-07T16:15:39.260,NVD-CWE-noinfo,6.5
CVE-2025-0247,2025-01-07T16:15:39.357,CWE-787,9.8
CVE-2025-0297,2025-01-07T16:15:39.887,CWE-74;CWE-89,6.3
CVE-2025-0298,2025-01-07T16:15:40.167,CWE-74;CWE-89,9.8
CVE-2025-21622,2025-01-07T16:15:40.510,CWE-22,9.1
CVE-2025-21623,2025-01-07T16:15:40.690,CWE-22;CWE-306,7.5
CVE-2025-21624,2025-01-07T16:15:40.853,CWE-434,9.8
CVE-2025-22294,2025-01-07T16:15:41.137,CWE-79,7.1
CVE-2025-22335,2025-01-07T16:15:42.703,CWE-79,7.1
CVE-2025-22338,2025-01-07T16:15:44.117,CWE-79,7.1
CVE-2025-22502,2025-01-07T16:15:45.717,CWE-89,7.6
CVE-2025-22503,2025-01-07T16:15:45.877,CWE-352,4.3
CVE-2025-22507,2025-01-07T16:15:46.040,CWE-89,7.6
CVE-2025-22511,2025-01-07T16:15:46.180,CWE-79,6.5
CVE-2025-22512,2025-01-07T16:15:46.320,CWE-862,4.3
CVE-2025-22515,2025-01-07T16:15:46.497,CWE-79,6.5
CVE-2025-22516,2025-01-07T16:15:46.653,CWE-79,6.5
CVE-2025-22517,2025-01-07T16:15:46.820,CWE-79,6.5
CVE-2025-22518,2025-01-07T16:15:46.990,CWE-79,6.5
CVE-2025-22519,2025-01-07T16:15:47.140,CWE-89,8.5
CVE-2025-22520,2025-01-07T16:15:47.310,CWE-352,7.1
CVE-2025-22522,2025-01-07T16:15:47.513,CWE-79,7.1
CVE-2025-22524,2025-01-07T16:15:47.680,CWE-79,6.5
CVE-2025-22525,2025-01-07T16:15:47.830,CWE-79,6.5
CVE-2025-22528,2025-01-07T16:15:47.987,CWE-79,6.5
CVE-2025-22529,2025-01-07T16:15:48.180,CWE-79,6.5
CVE-2025-22530,2025-01-07T16:15:48.350,CWE-79,6.5
CVE-2025-22531,2025-01-07T16:15:48.520,CWE-79,6.5
CVE-2025-22532,2025-01-07T16:15:48.747,CWE-79,6.5
CVE-2025-22533,2025-01-07T16:15:48.980,CWE-89,7.6
CVE-2025-22534,2025-01-07T16:15:49.130,CWE-862,5.4
CVE-2025-22536,2025-01-07T16:15:49.293,CWE-89,7.6
CVE-2025-22538,2025-01-07T16:15:49.460,CWE-352,7.1
CVE-2025-22541,2025-01-07T16:15:49.670,CWE-862,5.4
CVE-2025-22543,2025-01-07T16:15:49.830,CWE-862,5.4
CVE-2025-22544,2025-01-07T16:15:50.003,CWE-79,6.5
CVE-2025-22545,2025-01-07T16:15:50.140,CWE-79,6.5
CVE-2025-22546,2025-01-07T16:15:50.300,CWE-79,6.5
CVE-2025-22547,2025-01-07T16:15:50.463,CWE-79,7.1
CVE-2025-22548,2025-01-07T16:15:50.623,CWE-79,7.1
CVE-2025-22549,2025-01-07T16:15:50.790,CWE-79,6.5
CVE-2025-22550,2025-01-07T16:15:50.960,CWE-79,6.5
CVE-2025-22551,2025-01-07T16:15:51.127,CWE-79,6.5
CVE-2025-22552,2025-01-07T16:15:51.277,CWE-352,7.1
CVE-2025-22554,2025-01-07T16:15:51.443,CWE-79,6.5
CVE-2025-22555,2025-01-07T16:15:51.627,CWE-352,7.1
CVE-2025-22556,2025-01-07T16:15:51.780,CWE-352,7.1
CVE-2025-22557,2025-01-07T16:15:51.920,CWE-352,7.1
CVE-2025-22558,2025-01-07T16:15:52.080,CWE-79,6.5
CVE-2025-22559,2025-01-07T16:15:52.243,CWE-352,7.1
CVE-2025-22560,2025-01-07T16:15:52.380,CWE-862,5.3
CVE-2025-22562,2025-01-07T16:15:52.540,CWE-352,4.3
CVE-2025-22563,2025-01-07T16:15:52.940,CWE-352,4.3
CVE-2025-22571,2025-01-07T16:15:53.187,CWE-352,7.1
CVE-2025-22572,2025-01-07T16:15:53.357,CWE-79,6.5
CVE-2025-22573,2025-01-07T16:15:53.520,CWE-79,6.5
CVE-2025-22574,2025-01-07T16:15:53.667,CWE-79,6.5
CVE-2025-22577,2025-01-07T16:15:53.823,CWE-79,6.5
CVE-2025-22578,2025-01-07T16:15:53.970,CWE-79,5.9
CVE-2025-22579,2025-01-07T16:15:54.130,CWE-79,5.9
CVE-2025-22580,2025-01-07T16:15:54.303,CWE-79,6.5
CVE-2025-22581,2025-01-07T16:15:54.467,CWE-79,6.5
CVE-2025-22582,2025-01-07T16:15:54.640,CWE-352,7.1
CVE-2025-22584,2025-01-07T16:15:54.780,CWE-79,6.5
CVE-2025-22585,2025-01-07T16:15:54.923,CWE-79,6.5
CVE-2025-22589,2025-01-07T16:15:55.053,CWE-352,7.1
CVE-2025-22590,2025-01-07T16:15:55.200,CWE-352,7.1
CVE-2025-22591,2025-01-07T16:15:55.337,CWE-862,4.3
CVE-2025-22592,2025-01-07T16:15:55.470,CWE-862,7.5
CVE-2025-22593,2025-01-07T16:15:55.627,CWE-79,7.1
CVE-2025-0299,2025-01-07T17:15:31.903,CWE-74;CWE-89,9.8
CVE-2025-0300,2025-01-07T17:15:32.090,CWE-74;CWE-89,8.8
CVE-2025-22296,2025-01-07T17:15:32.520,CWE-79,6.5
CVE-2025-22306,2025-01-07T17:15:32.663,CWE-538,5.3
CVE-2025-22319,2025-01-07T17:15:32.810,CWE-862,4.3
CVE-2025-22334,2025-01-07T17:15:32.953,CWE-79,6.5
CVE-2025-22350,2025-01-07T17:15:33.093,CWE-89,7.6
CVE-2025-22354,2025-01-07T17:15:33.230,CWE-79,6.5
CVE-2025-22363,2025-01-07T17:15:33.377,CWE-862,5.3
CVE-2025-22365,2025-01-07T17:15:33.510,CWE-79,6.5
CVE-2025-22500,2025-01-07T17:15:33.657,CWE-79,6.5
CVE-2025-22621,2025-01-07T17:15:35.710,CWE-269,6.4
CVE-2025-0301,2025-01-07T18:15:21.460,CWE-79;CWE-94,6.1
CVE-2025-0218,2025-01-07T20:15:30.710,CWE-340;CWE-330,7.1
CVE-2025-22132,2025-01-07T22:15:31.590,CWE-79;CWE-434,4.8
CVE-2025-22133,2025-01-07T22:15:31.740,CWE-94;CWE-434,9.9
CVE-2025-21603,2025-01-08T04:15:08.407,CWE-79,4.8
CVE-2025-22215,2025-01-08T07:15:28.180,CWE-918,4.3
CVE-2025-21102,2025-01-08T12:15:22.850,CWE-256;CWE-522,4.4
CVE-2025-20123,2025-01-08T16:15:38.150,CWE-79,4.8
CVE-2025-20126,2025-01-08T16:15:38.357,CWE-295,4.8
CVE-2025-22130,2025-01-08T16:15:38.543,CWE-22,8.8
CVE-2025-22136,2025-01-08T16:15:38.770,CWE-94,8.6
CVE-2025-22137,2025-01-08T16:15:38.920,CWE-20;CWE-434,9.8
CVE-2025-20166,2025-01-08T17:15:16.990,CWE-86,5.4
CVE-2025-20167,2025-01-08T17:15:17.163,CWE-86,5.4
CVE-2025-20168,2025-01-08T17:15:17.323,CWE-86,5.4
CVE-2025-21111,2025-01-08T18:15:20.157,CWE-256;CWE-522,4.4
CVE-2025-0291,2025-01-08T19:15:38.420,CWE-843,8.8
CVE-2025-22139,2025-01-08T19:15:38.717,CWE-79,6.1
CVE-2025-22140,2025-01-08T19:15:38.863,CWE-89,8.8
CVE-2025-22141,2025-01-08T19:15:39.017,CWE-89,8.8
CVE-2025-0194,2025-01-08T20:15:29.193,CWE-538,6.5
CVE-2025-22143,2025-01-08T20:15:30.003,CWE-79,6.1
CVE-2025-22145,2025-01-08T21:15:13.480,CWE-98,6.3
CVE-2025-0282,2025-01-08T23:15:09.763,CWE-121;CWE-787,9.0
CVE-2025-0283,2025-01-08T23:15:09.920,CWE-121;CWE-787,7.0
CVE-2025-0306,2025-01-09T04:15:13.000,CWE-385,7.4
CVE-2025-0328,2025-01-09T05:15:07.997,CWE-74;CWE-77,7.3
CVE-2025-0331,2025-01-09T05:15:08.237,CWE-640,5.3
CVE-2025-0333,2025-01-09T05:15:08.453,CWE-74;CWE-89,8.8
CVE-2025-0334,2025-01-09T06:15:15.610,CWE-74;CWE-89,8.8
CVE-2025-0335,2025-01-09T06:15:15.850,CWE-284;CWE-434,9.8
CVE-2025-0336,2025-01-09T07:15:27.860,CWE-74;CWE-89,9.8
CVE-2025-0339,2025-01-09T07:15:28.080,CWE-79;CWE-94,6.1
CVE-2025-0340,2025-01-09T07:15:28.260,CWE-74;CWE-89,9.8
CVE-2025-20033,2025-01-09T07:15:28.450,CWE-1287,6.5
CVE-2025-22445,2025-01-09T07:15:28.617,CWE-754,5.3
CVE-2025-22449,2025-01-09T07:15:28.777,CWE-863,3.8
CVE-2025-0341,2025-01-09T08:15:30.060,CWE-284;CWE-434,9.8
CVE-2025-0342,2025-01-09T08:15:30.310,CWE-79;CWE-94,5.4
CVE-2025-0344,2025-01-09T08:15:30.517,CWE-74;CWE-89,8.8
CVE-2025-0345,2025-01-09T09:15:09.220,CWE-74;CWE-89,8.8
CVE-2025-0346,2025-01-09T09:15:09.393,CWE-284;CWE-434,7.2
CVE-2025-0347,2025-01-09T10:15:07.170,CWE-74;CWE-89,9.8
CVE-2025-0348,2025-01-09T10:15:07.700,CWE-79;CWE-94,5.4
CVE-2025-0349,2025-01-09T11:15:16.547,CWE-119;CWE-121;CWE-787,9.8
CVE-2025-22295,2025-01-09T16:16:25.140,CWE-79,7.1
CVE-2025-22307,2025-01-09T16:16:25.347,CWE-79,7.1
CVE-2025-22313,2025-01-09T16:16:25.653,CWE-79,7.1
CVE-2025-22330,2025-01-09T16:16:25.840,CWE-79,7.1
CVE-2025-22331,2025-01-09T16:16:26.180,CWE-79,7.1
CVE-2025-22345,2025-01-09T16:16:26.620,CWE-79,7.1
CVE-2025-22361,2025-01-09T16:16:26.830,CWE-79,7.1
CVE-2025-22504,2025-01-09T16:16:27.110,CWE-434,10.0
CVE-2025-22505,2025-01-09T16:16:27.280,CWE-89,8.5
CVE-2025-22508,2025-01-09T16:16:27.433,CWE-98,8.1
CVE-2025-22510,2025-01-09T16:16:27.590,CWE-502,7.2
CVE-2025-22521,2025-01-09T16:16:27.743,CWE-79,7.1
CVE-2025-22527,2025-01-09T16:16:27.890,CWE-89,7.6
CVE-2025-22535,2025-01-09T16:16:28.047,CWE-89,8.5
CVE-2025-22537,2025-01-09T16:16:28.210,CWE-89,8.5
CVE-2025-22539,2025-01-09T16:16:28.350,CWE-79,7.1
CVE-2025-22540,2025-01-09T16:16:28.503,CWE-89,9.3
CVE-2025-22542,2025-01-09T16:16:28.670,CWE-89,9.3
CVE-2025-22561,2025-01-09T16:16:28.827,CWE-862,4.3
CVE-2025-22594,2025-01-09T16:16:28.983,CWE-79,7.1
CVE-2025-22595,2025-01-09T16:16:29.160,CWE-79,7.1
CVE-2025-22801,2025-01-09T16:16:29.323,CWE-79,6.5
CVE-2025-22802,2025-01-09T16:16:29.470,CWE-79,6.5
CVE-2025-22803,2025-01-09T16:16:29.627,CWE-79,6.5
CVE-2025-22804,2025-01-09T16:16:29.787,CWE-79,6.5
CVE-2025-22805,2025-01-09T16:16:29.937,CWE-79,6.5
CVE-2025-22806,2025-01-09T16:16:30.090,CWE-79,5.4
CVE-2025-22807,2025-01-09T16:16:30.253,CWE-79,6.5
CVE-2025-22808,2025-01-09T16:16:30.403,CWE-79,6.5
CVE-2025-22809,2025-01-09T16:16:30.557,CWE-79,6.5
CVE-2025-22810,2025-01-09T16:16:30.713,CWE-79,6.5
CVE-2025-22811,2025-01-09T16:16:30.880,CWE-79,6.5
CVE-2025-22812,2025-01-09T16:16:31.047,CWE-79,6.5
CVE-2025-22813,2025-01-09T16:16:31.200,CWE-79,6.5
CVE-2025-22814,2025-01-09T16:16:31.370,CWE-352,7.1
CVE-2025-22815,2025-01-09T16:16:31.543,CWE-79,5.4
CVE-2025-22817,2025-01-09T16:16:31.693,CWE-79,6.5
CVE-2025-22818,2025-01-09T16:16:31.850,CWE-79,6.5
CVE-2025-22819,2025-01-09T16:16:32.000,CWE-79,6.5
CVE-2025-22820,2025-01-09T16:16:32.173,CWE-79,6.5
CVE-2025-22821,2025-01-09T16:16:32.363,CWE-79,6.5
CVE-2025-22822,2025-01-09T16:16:32.557,CWE-79,6.5
CVE-2025-22823,2025-01-09T16:16:32.717,CWE-79,6.5
CVE-2025-22824,2025-01-09T16:16:32.893,CWE-79,6.5
CVE-2025-22826,2025-01-09T16:16:33.047,CWE-79,6.5
CVE-2025-22827,2025-01-09T16:16:33.200,CWE-79,6.5
CVE-2025-21592,2025-01-09T17:15:18.203,CWE-200,5.5
CVE-2025-21593,2025-01-09T17:15:18.380,CWE-664,6.5
CVE-2025-21596,2025-01-09T17:15:18.593,CWE-755,5.5
CVE-2025-21599,2025-01-09T17:15:18.770,CWE-401,7.5
CVE-2025-21600,2025-01-09T17:15:18.960,CWE-125,6.5
CVE-2025-21602,2025-01-09T17:15:19.150,CWE-755,6.5
CVE-2025-21628,2025-01-09T18:15:30.070,CWE-89,8.8
CVE-2025-22149,2025-01-09T18:15:30.233,CWE-672,2.1
CVE-2025-21598,2025-01-09T19:15:20.123,CWE-125,7.5
CVE-2025-22151,2025-01-09T19:15:20.410,CWE-843,3.7
CVE-2025-21385,2025-01-09T22:15:29.980,CWE-918,6.5
CVE-2025-21380,2025-01-09T23:15:08.340,CWE-284;NVD-CWE-Other,6.5
CVE-2025-0311,2025-01-10T07:15:08.507,CWE-79,5.4
CVE-2025-23016,2025-01-10T12:15:25.480,CWE-190,9.3
CVE-2025-22946,2025-01-10T15:15:16.710,CWE-120,9.8
CVE-2025-23022,2025-01-10T15:15:16.967,CWE-190,6.2
CVE-2025-22152,2025-01-10T16:15:29.910,CWE-22;CWE-94;CWE-434,9.1
CVE-2025-22596,2025-01-10T16:15:30.143,CWE-79,6.5
CVE-2025-22597,2025-01-10T16:15:30.343,CWE-79,6.1
CVE-2025-22598,2025-01-10T16:15:30.540,CWE-79,6.1
CVE-2025-22599,2025-01-10T16:15:30.737,CWE-79,6.5
CVE-2025-22600,2025-01-10T16:15:30.940,CWE-79,6.5
CVE-2025-22949,2025-01-10T16:15:31.137,CWE-77,9.8
CVE-2025-23078,2025-01-10T18:15:26.877,CWE-79,6.5
CVE-2025-23079,2025-01-10T19:15:38.353,CWE-79,6.1
CVE-2025-23110,2025-01-10T22:15:27.550,CWE-79,6.1
CVE-2025-23111,2025-01-10T22:15:27.723,CWE-79,6.1
CVE-2025-23112,2025-01-10T22:15:27.863,CWE-79,6.1
CVE-2025-23113,2025-01-10T22:15:28.023,CWE-352,8.8
CVE-2025-0103,2025-01-11T03:15:22.020,CWE-89,9.2
CVE-2025-0104,2025-01-11T03:15:22.183,CWE-79,7.0
CVE-2025-0105,2025-01-11T03:15:22.317,CWE-73,6.9
CVE-2025-0106,2025-01-11T03:15:22.490,CWE-155,6.9
CVE-2025-0107,2025-01-11T03:15:22.637,CWE-78,7.7
CVE-2025-23108,2025-01-11T04:15:06.280,CWE-79,4.3
CVE-2025-23109,2025-01-11T04:15:06.367,CWE-346,6.5
CVE-2025-0390,2025-01-11T08:15:26.527,CWE-23;CWE-24,7.5
CVE-2025-0391,2025-01-11T09:15:05.937,CWE-74;CWE-89,8.8
CVE-2025-0392,2025-01-11T11:15:06.657,CWE-74;CWE-89,8.8
CVE-2025-23124,2025-01-11T15:15:08.930,N/A,N/A
CVE-2025-23125,2025-01-11T15:15:09.023,N/A,N/A
CVE-2025-23126,2025-01-11T15:15:09.100,N/A,N/A
CVE-2025-23127,2025-01-11T15:15:09.173,N/A,N/A
CVE-2025-23128,2025-01-11T15:15:09.250,N/A,N/A
CVE-2025-0396,2025-01-12T12:15:17.963,CWE-74;CWE-77,7.8
CVE-2025-0397,2025-01-12T13:15:07.333,CWE-79;CWE-94,3.5
CVE-2025-0398,2025-01-12T14:15:08.993,CWE-79;CWE-94,2.4
CVE-2025-0399,2025-01-12T23:15:07.050,CWE-284;CWE-434,7.2
CVE-2025-0400,2025-01-12T23:15:07.260,CWE-79;CWE-94,5.4
CVE-2025-0401,2025-01-13T00:15:06.807,CWE-22,5.3
CVE-2025-0402,2025-01-13T00:15:07.707,CWE-284;CWE-434,8.8
CVE-2025-0403,2025-01-13T00:15:07.873,CWE-200;CWE-284,5.3
CVE-2025-0404,2025-01-13T01:15:07.227,CWE-74;CWE-89,6.3
CVE-2025-0405,2025-01-13T01:15:07.430,CWE-74;CWE-89,8.8
CVE-2025-0406,2025-01-13T02:15:07.490,CWE-74;CWE-89,8.8
CVE-2025-0407,2025-01-13T02:15:07.667,CWE-74;CWE-89,8.8
CVE-2025-0408,2025-01-13T02:15:07.840,CWE-74;CWE-89,8.8
CVE-2025-0409,2025-01-13T03:15:06.667,CWE-74;CWE-89,8.8
CVE-2025-0410,2025-01-13T03:15:06.847,CWE-74;CWE-89,8.8
CVE-2025-0412,2025-01-13T04:15:06.477,CWE-119,N/A
CVE-2025-22828,2025-01-13T13:16:12.233,CWE-200,4.3
CVE-2025-22314,2025-01-13T14:15:10.270,CWE-79,7.1
CVE-2025-22337,2025-01-13T14:15:10.440,CWE-79,7.1
CVE-2025-22344,2025-01-13T14:15:10.613,CWE-79,7.1
CVE-2025-22498,2025-01-13T14:15:10.787,CWE-79,7.1
CVE-2025-22499,2025-01-13T14:15:10.960,CWE-79,7.1
CVE-2025-22506,2025-01-13T14:15:11.127,CWE-79,7.1
CVE-2025-22514,2025-01-13T14:15:11.290,CWE-79,7.1
CVE-2025-22567,2025-01-13T14:15:11.460,CWE-79,7.1
CVE-2025-22568,2025-01-13T14:15:11.610,CWE-79,7.1
CVE-2025-22569,2025-01-13T14:15:11.787,CWE-79,7.1
CVE-2025-22570,2025-01-13T14:15:11.940,CWE-79,7.1
CVE-2025-22576,2025-01-13T14:15:12.117,CWE-79,7.1
CVE-2025-22583,2025-01-13T14:15:12.300,CWE-79,7.1
CVE-2025-22586,2025-01-13T14:15:12.490,CWE-79,7.1
CVE-2025-22588,2025-01-13T14:15:12.660,CWE-79,7.1
CVE-2025-22777,2025-01-13T14:15:12.900,CWE-502,9.8
CVE-2025-22800,2025-01-13T14:15:13.067,CWE-862,8.8
CVE-2025-22963,2025-01-13T16:15:19.367,CWE-352,7.5
CVE-2025-22142,2025-01-13T20:15:29.677,CWE-79,5.4
CVE-2025-22144,2025-01-13T20:15:29.817,CWE-610;CWE-640,9.8
CVE-2025-23026,2025-01-13T20:15:30.003,CWE-79;CWE-150,6.1
CVE-2025-23027,2025-01-13T20:15:30.150,CWE-312,6.3
CVE-2025-22134,2025-01-13T21:15:14.333,CWE-122,5.5
CVE-2025-22138,2025-01-13T21:15:14.500,CWE-200,5.1
CVE-2025-22613,2025-01-13T21:15:14.837,CWE-79,5.4
CVE-2025-22614,2025-01-13T21:15:14.967,CWE-79,5.4
CVE-2025-22615,2025-01-13T21:15:15.110,CWE-79,6.1
